SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
O=C(O)c1cccc(CS(=O)(=O)NCB(O)O)c1,12.13273413692322,123.93,5,0.0,4
O=S(=O)(NCB(O)O)c1ccc(-c2nnn[nH]2)cc1,0.0,141.09,7,0.0,4
O=S(=O)(NCB(O)O)c1ccc(-c2nnn[nH]2)nc1,0.0,153.98000000000002,8,0.0,4
O=S(=O)(NCB(O)O)c1ccc(-c2nnn[nH]2)c(Cl)c1,11.600939890232516,141.09,7,5.983045354973264,4
O=S(=O)(NCB(O)O)c1ccc(-c2nnn[nH]2)cc1Cl,11.600939890232516,141.09,7,5.919486803980851,4
O=S(=O)(NCB(O)O)c1ccc(-c2nnn[nH]2)cc1C(F)(F)F,0.0,141.09,7,0.0,4
O=S(=O)(CCl)NCB(O)O,0.0,86.63000000000001,4,4.962917926429831,3
Cc1onc(-c2ccccc2)c1C(=O)N[C@H](C=O)[C@@H]1N[C@@H](C(=O)O)C(C)(C)S1,35.4884985994335,121.53000000000002,7,1.3039836953937782,3
OB(O)c1cnn(-c2cccc(Cl)c2)c1,17.667306958694127,58.28,4,5.8242093761372855,2
OB(O)c1cnn(-c2cc(Cl)ncn2)c1,11.600939890232516,84.06,6,5.673098265026175,2
CC(C)(C)c1cc(B(O)O)cc(C(C)(C)C)c1,59.741524403528565,40.46,2,0.0,2
CC(=O)O/C=C1\CS[C@H]([C@@H](C=O)NC=O)N=C1C(=O)O,0.0,122.13000000000001,7,1.15370275888133,2
[H][S@TB19](O)(O)[C@@](C)(Cn1cc[n+](C)n1)[C@@H](N/C=C/C=O)C(=O)O,0.0,128.55999999999997,7,-4.020404029667422,5
O=C(O)c1cccc2c1O[B-](O)(O)[C@H](SCc1ccccc1)C2,42.46456947923127,86.99000000000001,5,1.3906018518518515,3
O=C(O)[C@@H]1[C@H](NS(=O)(=O)O)CCN1C(=O)N[C@H]1CCCNCC1,0.0,148.07,5,0.0,5
O=C(O)[C@@H]1[C@H](NS(=O)(=O)O)CCN1C(=O)N[C@@H]1CCCNCC1,0.0,148.07,5,0.0,5
NCCN1CCC[C@H](NC(=O)N2CC[C@@H](NS(=O)(=O)O)[C@H]2C=O)CC1,0.0,145.07,6,0.0,4
CNCCCCNC(=O)N1CC[C@@H](NS(=O)(=O)O)[C@H]1C=O,0.0,127.84,5,0.0,4
Cc1c(Oc2cnccn2)cc2c(c1C)[C@@H](CC(=O)O)OB2O,0.0,101.77000000000001,6,0.0,2
Cc1c(Oc2nc(N)ns2)cc2c(c1C)[C@@H](CC(=O)O)OB2O,0.0,127.79,8,1.0221843217442061,3
O=C(O)/C=C/c1cccc(B(O)O)c1,24.26546827384644,77.76,3,0.0,3
OCCOB(O)c1ccccc1,30.33183534230805,49.69,3,0.0,2
COc1cccc(B(O)OCCO)c1,12.13273413692322,58.92,4,0.0,2
OB(O)c1ccccc1,30.33183534230805,40.46,2,0.0,2
C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@H](CNS(N)(=O)=O)C1,6.923737199690624,171.17999999999998,8,1.459656320861678,5
CC(C)(O)[C@H](C(=O)O)[C@@H]1N[C@@H](C(=O)O)C(C)(C)S1,0.0,106.86,5,1.2347916666666665,4
C=C1CO[C@H]([C@@](NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)(OC)C(=O)O)N=C1C(=O)O,18.711669820521717,192.04999999999998,8,0.0,5
CC1(C)S[C@H]([C@H](NC(=O)[C@H](N)c2ccccc2)C(=O)O)N[C@H]1C(=O)O,30.33183534230805,141.75,6,1.1618971508356426,5
CO[C@H]1S[C@H]2[C@H](C(=O)C2(Cl)Cl)[C@H]1C(=O)O,23.20187978046503,63.60000000000001,4,12.809227450239351,1
C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@H]2CN[C@@H](C(=O)N(C)C)C2)[C@@H]1C,6.923737199690624,118.97000000000001,7,1.4410789871504153,4
CN(C)C(=O)[C@H]1C[C@@H](S[C@H]2C[C@H]([C@@H](CO)C(O)O)N=C2C(=O)O)CN1,0.0,142.69,8,1.4377248677248675,5
COC(=O)Nc1ccn2c(N[C@@H](C(=O)O)C(C)(C)[S@](=O)O)c(C=O)cc2c1,0.0,146.44,7,-2.44413991241215,4
C[C@](COC(N)=O)([C@@H](Nc1c(C=O)cc2cc(C(N)=O)ccn12)C(=O)O)[S@](=O)O,0.0,203.51999999999995,8,-2.784534616128532,5
CC(C)(C)OC(=O)Nc1cccc(B(O)O)c1,12.13273413692322,78.79,4,0.0,3
O=S(=O)(c1ccc(B(O)O)cc1)N1CCC1,12.13273413692322,77.84,4,0.0,2
CC(C)(C)OC(=O)Nc1ccc2c(c1)B(O)OC2,6.06636706846161,67.79,4,0.0,2
